client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:75,cmpl-pf4096_dc1024:75-0,83.56165885925293,88.834894,1788802452.3366456,3550771.650523383,75,35.28884456632659
pf4096_dc1024:76,cmpl-pf4096_dc1024:76-0,110.21709442138672,114.201455,1788802452.3884957,3550771.726671526,76,35.36499270936474
pf4096_dc1024:77,cmpl-pf4096_dc1024:77-0,137.19749450683594,143.959565,1788802454.7428794,3550774.110164645,77,37.748485828284174
pf4096_dc1024:78,cmpl-pf4096_dc1024:78-0,81.87294006347656,86.72349,1788802455.439464,3550774.748131123,78,38.38645230606198
pf4096_dc1024:79,cmpl-pf4096_dc1024:79-0,143.42093467712402,147.492514,1788802455.880562,3550775.252338036,79,38.8906592191197
pf4096_dc1024:80,cmpl-pf4096_dc1024:80-0,115.7832145690918,122.201638,1788802456.9061472,3550776.250065368,80,39.88838655129075
pf4096_dc1024:81,cmpl-pf4096_dc1024:81-0,130.31482696533203,138.473681,1788802457.67339,3550777.034493936,81,40.672815119381994
pf4096_dc1024:82,cmpl-pf4096_dc1024:82-0,90.54684638977051,96.175786,1788802457.7903004,3550777.110093587,82,40.748414770234376
pf4096_dc1024:83,cmpl-pf4096_dc1024:83-0,160.59279441833496,168.35705,1788802457.8482537,3550777.186876681,83,40.825197864323854
pf4096_dc1024:84,cmpl-pf4096_dc1024:84-0,160.63547134399414,169.041903,1788802457.8487294,3550777.18703156,84,40.82535274326801
pf4096_dc1024:85,cmpl-pf4096_dc1024:85-0,131.52337074279785,136.275277,1788802457.8778415,3550777.187040078,85,40.82536126114428
pf4096_dc1024:86,cmpl-pf4096_dc1024:86-0,123.89683723449707,128.184026,1788802458.1718922,3550777.525730832,86,41.164052015170455
pf4096_dc1024:87,cmpl-pf4096_dc1024:87-0,106.7514419555664,111.219701,1788802458.4063494,3550777.741436155,87,41.37975733820349
pf4096_dc1024:88,cmpl-pf4096_dc1024:88-0,121.51575088500977,126.576229,1788802458.6782894,3550778.027703488,88,41.66602467093617
pf4096_dc1024:89,cmpl-pf4096_dc1024:89-0,117.34175682067871,122.466575,1788802458.9723413,3550778.31778419,89,41.95610537333414
pf4096_dc1024:90,cmpl-pf4096_dc1024:90-0,94.88368034362793,99.93936,1788802459.210714,3550778.533864011,90,42.17218519421294
pf4096_dc1024:91,cmpl-pf4096_dc1024:91-0,137.52365112304688,141.445433,1788802459.3126452,3550778.679571137,91,42.31789231998846
pf4096_dc1024:93,cmpl-pf4096_dc1024:93-0,122.38454818725586,129.237262,1788802459.5543213,3550778.894256037,92,42.532577220350504
pf4096_dc1024:92,cmpl-pf4096_dc1024:92-0,145.02549171447754,151.24752,1788802459.5311782,3550778.894477957,93,42.532799140084535
pf4096_dc1024:94,cmpl-pf4096_dc1024:94-0,126.9688606262207,131.45027,1788802459.9764168,3550779.331845118,94,42.970166301354766
pf4096_dc1024:95,cmpl-pf4096_dc1024:95-0,133.8205337524414,138.363344,1788802460.1869192,3550779.549769449,95,43.188090632203966
pf4096_dc1024:96,cmpl-pf4096_dc1024:96-0,139.7857666015625,144.444463,1788802460.2601476,3550779.626750954,96,43.265072137117386
pf4096_dc1024:97,cmpl-pf4096_dc1024:97-0,135.10560989379883,140.402015,1788802461.7518597,3550781.112832042,97,44.75115322507918
pf4096_dc1024:98,cmpl-pf4096_dc1024:98-0,95.46184539794922,100.813796,1788802463.0037827,3550782.326172397,98,45.964493580162525
pf4096_dc1024:99,cmpl-pf4096_dc1024:99-0,86.06195449829102,93.356871,1788802464.1440825,3550783.460426744,99,47.09874792722985
