client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:59,cmpl-pf4096_dc1024:59-0,100.4939079284668,104.189841,1788844421.7307966,3455744.04277155,59,29.334866476710886
pf4096_dc1024:60,cmpl-pf4096_dc1024:60-0,106.86826705932617,111.227275,1788844422.2046366,3455744.523615539,60,29.815710465889424
pf4096_dc1024:61,cmpl-pf4096_dc1024:61-0,154.313325881958,160.268689,1788844422.4836378,3455744.848868749,61,30.14096367591992
pf4096_dc1024:62,cmpl-pf4096_dc1024:62-0,94.93327140808105,98.684722,1788844422.6293187,3455744.93621381,62,30.228308736812323
pf4096_dc1024:63,cmpl-pf4096_dc1024:63-0,116.26029014587402,120.174276,1788844422.6933417,3455745.021466434,63,30.313561360817403
pf4096_dc1024:64,cmpl-pf4096_dc1024:64-0,123.46005439758301,127.545761,1788844423.246989,3455745.581908865,64,30.87400379171595
pf4096_dc1024:65,cmpl-pf4096_dc1024:65-0,112.62297630310059,116.386554,1788844423.6652176,3455745.98783364,65,31.279928566887975
pf4096_dc1024:66,cmpl-pf4096_dc1024:66-0,157.4881076812744,163.406161,1788844424.2683184,3455746.633743642,66,31.925838568713516
pf4096_dc1024:67,cmpl-pf4096_dc1024:67-0,90.93666076660156,95.456235,1788844424.3345075,3455746.634142613,67,31.9262375398539
pf4096_dc1024:68,cmpl-pf4096_dc1024:68-0,147.71223068237305,151.759001,1788844425.227333,3455747.588565778,68,32.88066070480272
pf4096_dc1024:69,cmpl-pf4096_dc1024:69-0,106.60386085510254,110.549015,1788844426.626991,3455748.943949241,69,34.23604416800663
pf4096_dc1024:70,cmpl-pf4096_dc1024:70-0,133.99696350097656,139.456902,1788844426.9192348,3455749.267013177,70,34.559108103625476
pf4096_dc1024:71,cmpl-pf4096_dc1024:71-0,191.80727005004883,196.213493,1788844426.9900997,3455749.350515055,71,34.64260998181999
pf4096_dc1024:73,cmpl-pf4096_dc1024:73-0,161.06748580932617,164.670582,1788844427.0208395,3455749.350523463,72,34.64261838980019
pf4096_dc1024:72,cmpl-pf4096_dc1024:72-0,171.21338844299316,175.084722,1788844427.0089774,3455749.350667417,73,34.64276234386489
pf4096_dc1024:74,cmpl-pf4096_dc1024:74-0,126.07741355895996,129.828996,1788844427.3013523,3455749.639260488,74,34.931355414912105
pf4096_dc1024:76,cmpl-pf4096_dc1024:76-0,109.15541648864746,113.128597,1788844427.732003,3455750.044919799,75,35.33701472589746
pf4096_dc1024:75,cmpl-pf4096_dc1024:75-0,157.84239768981934,162.761846,1788844427.681911,3455750.045078511,76,35.337173437699676
