time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.032,0.032,0.032,0.032,0.0,0.083,0.083,0.083,0.083,0.0,2.441,2.441,2.441,2.441,0.0,0.012,0.015,0.01295,0.013000000000000001,0.0004252450274057692,0.013000000000000001,0.014,0.013133333333333334,0.013000000000000001,0.00033993463423951867,512,60,60,1,4,2048,1408,True,1
0.032,0.032,0.032,0.032,0.0,0.083,0.083,0.083,0.083,0.0,2.552,2.552,2.552,2.552,0.0,0.012,0.015,0.013016666666666668,0.013000000000000001,0.0003411581581743119,0.013000000000000001,0.014,0.013016666666666668,0.013000000000000001,0.00012801909579781006,504,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.084,0.084,0.084,0.084,0.0,2.426,2.426,2.426,2.426,0.0,0.012,0.015,0.0129,0.013000000000000001,0.0004725815626252609,0.013000000000000001,0.014,0.01315,0.013000000000000001,0.00035707142142714214,496,60,60,1,4,2048,1408,True,1
0.032,0.032,0.032,0.032,0.0,0.083,0.083,0.083,0.083,0.0,2.3930000000000002,2.3930000000000002,2.3930000000000002,2.3930000000000002,0.0,0.012,0.015,0.013016666666666668,0.013000000000000001,0.0003411581581743119,0.008,0.014,0.01071666666666667,0.013000000000000001,0.0024838925544842364,488,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.081,0.081,0.081,0.081,0.0,2.166,2.166,2.166,2.166,0.0,0.012,0.015,0.012916666666666667,0.013000000000000001,0.00045795438880113625,0.008,0.009000000000000001,0.008016666666666667,0.008,0.00012801909579781027,480,60,60,1,4,2048,1408,True,1
0.032,0.032,0.032,0.032,0.0,0.082,0.082,0.082,0.082,0.0,2.4250000000000003,2.4250000000000003,2.4250000000000003,2.4250000000000003,0.0,0.012,0.015,0.013016666666666668,0.013000000000000001,0.0003411581581743119,0.008,0.013000000000000001,0.010733333333333334,0.013000000000000001,0.002434930982366624,472,60,60,1,4,2048,1408,True,1
0.03,0.03,0.03,0.03,0.0,0.081,0.081,0.081,0.081,0.0,2.433,2.433,2.433,2.433,0.0,0.012,0.014,0.01285,0.013000000000000001,0.00044064346888007637,0.013000000000000001,0.014,0.013066666666666667,0.013000000000000001,0.0002494438257849292,464,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.081,0.081,0.081,0.081,0.0,2.5340000000000003,2.5340000000000003,2.5340000000000003,2.5340000000000003,0.0,0.012,0.014,0.012983333333333335,0.013000000000000001,0.00028819360776317644,0.013000000000000001,0.014,0.013016666666666668,0.013000000000000001,0.00012801909579781006,456,60,60,1,4,2048,1408,True,1
0.03,0.03,0.03,0.03,0.0,0.079,0.079,0.079,0.079,0.0,2.448,2.448,2.448,2.448,0.0,0.012,0.014,0.012883333333333333,0.013000000000000001,0.00041197356981027605,0.013000000000000001,0.014,0.013033333333333334,0.013000000000000001,0.00017950549357115,448,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.079,0.079,0.079,0.079,0.0,2.537,2.537,2.537,2.537,0.0,0.012,0.015,0.012966666666666666,0.013000000000000001,0.0004068851871911235,0.013000000000000001,0.014,0.013016666666666668,0.013000000000000001,0.00012801909579781006,440,60,60,1,4,2048,1408,True,1
0.031,0.031,0.031,0.031,0.0,0.078,0.078,0.078,0.078,0.0,2.407,2.407,2.407,2.407,0.0,0.012,0.014,0.012816666666666667,0.013000000000000001,0.0004651761912317624,0.013000000000000001,0.014,0.013016666666666668,0.013000000000000001,0.00012801909579781006,432,60,60,1,4,2048,1408,True,1
